LU01,LU-01,中府
LU02,LU-02,雲門
LU03,LU-03,天府
LU04,LU-04,俠白
LU05,LU-05,尺澤
LU06,LU-06,孔最
LU07,LU-07,列缺
LU08,LU-08,經渠
LU09,LU-09,太淵
LU10,LU-10,魚際
LU11,LU-11,少商
LI01,LI-01,商陽
LI02,LI-02,二間
LI03,LI-03,三間
LI04,LI-04,合谷
LI05,LI-05,陽谿
LI06,LI-06,偏歷
LI07,LI-07,溫溜
LI08,LI-08,下臁
LI09,LI-09,上臁
LI10,LI-10,手三里
LI11,LI-11,曲池
LI12,LI-12,肘髎
LI13,LI-13,手五里
LI14,LI-14,臂臑
LI15,LI-15,肩骨禺
LI16,LI-16,巨骨
LI17,LI-17,天鼎
LI18,LI-18,扶突
LI19,LI-19,禾髎
LI20,LI-20,迎香
ST01,ST-01,承泣
ST02,ST-02,四白
ST03,ST-03,巨髎
ST04,ST-04,地倉
ST05,ST-05,大迎
ST06,ST-06,頰車
ST07,ST-07,下關
ST08,ST-08,頭維
ST09,ST-09,人迎
ST10,ST-10,水突
ST11,ST-11,氣舍
ST12,ST-12,缺盆
ST13,ST-13,氣戶
ST14,ST-14,庫房
ST15,ST-15,屋翳
ST16,ST-16,膺窗
ST17,ST-17,乳中
ST18,ST-18,乳根
ST19,ST-19,不容
ST20,ST-20,承滿
ST21,ST-21,梁門
ST22,ST-22,關門
ST23,ST-23,太乙
ST24,ST-24,滑肉門
ST25,ST-25,天樞
ST26,ST-26,外陵
ST27,ST-27,大巨
ST28,ST-28,水道
ST29,ST-29,歸來
ST30,ST-30,氣衝
ST31,ST-31,髀關
ST32,ST-32,伏兔
ST33,ST-33,陰市
ST34,ST-34,梁丘
ST35,ST-35,犢鼻
ST36,ST-36,足三里
ST37,ST-37,上巨虛
ST38,ST-38,條口
ST39,ST-39,下巨虛
ST40,ST-40,豐隆
ST41,ST-41,解谿
ST42,ST-42,衝陽
ST43,ST-43,陷谷
ST44,ST-44,內庭
ST45,ST-45,厲兌
SP01,SP-01,隱白
SP02,SP-02,大都
SP03,SP-03,太白
SP04,SP-04,公孫
SP05,SP-05,商丘
SP06,SP-06,三陰交
SP07,SP-07,漏谷
SP08,SP-08,地機
SP09,SP-09,陰陵泉
SP10,SP-10,血海
SP11,SP-11,箕門
SP12,SP-12,衝門
SP13,SP-13,府舍
SP14,SP-14,腹結
SP15,SP-15,大橫
SP16,SP-16,腹哀
SP17,SP-17,食竇
SP18,SP-18,天谿
SP19,SP-19,胸鄉
SP20,SP-20,周榮
SP21,SP-21,大包